datetime;nom;count;kilometre parcourus;temps en minutes;-100km;100-150km;150-200km;200-250km;250-300km;+ de 300km
;x12vgD8JS6;14;99;187;1;0;0;0;0;0
;xW336S9f74;20;310;2607;0;0;0;0;0;1
25/07/2023;xg69dpm56d;13;204;750;0;0;0;1;0;0
;xl96smp7E96;20;179;655;0;0;1;0;0;0
;x85pMRtg89;29;252;905;0;0;0;0;1;0
;x6pqTg88l7;21;65;613;1;0;0;0;0;0
;x12vgD8JS6;10;71;538;1;0;0;0;0;0
;xW336S9f74;17;153;637;0;0;1;0;0;0
26/07/2023;xg69dpm56d;3;42;165;1;0;0;0;0;0
;xl96smp7E96;22;197;567;0;0;1;0;0;0
;x85pMRtg89;24;119;654;0;1;0;0;0;0
;x6pqTg88l7;6;47;341;1;0;0;0;0;0
;x12vgD8JS6;35;245;719;0;0;0;1;0;0
;xW336S9f74;16;82;631;1;0;0;0;0;0
27/07/2023;xl96smp7E96;20;168;625;0;0;1;0;0;0
;x85pMRtg89;22;46;461;1;0;0;0;0;0
;x12vgD8JS6;40;266;744;0;0;0;0;1;0
;xW336S9f74;17;95;791;1;0;0;0;0;0
28/07/2023;xl96smp7E96;11;104;516;0;1;0;0;0;0
;x85pMRtg89;14;31;679;1;0;0;0;0;0
;x12vgD8JS6;20;109;377;0;1;0;0;0;0
;xW336S9f74;10;55;1328;1;0;0;0;0;0
31/07/2023;xl96smp7E96;7;96;446;1;0;0;0;0;0
;x85pMRtg89;23;119;473;0;1;0;0;0;0
;xP662IY9mp;14;188;922;0;0;1;0;0;0
;x12vgD8JS6;24;241;668;0;0;0;1;0;0
;xW336S9f74;14;54;553;1;0;0;0;0;0
01/08/2023;xl96smp7E96;13;120;374;0;1;0;0;0;0
;x85pMRtg89;19;39;458;1;0;0;0;0;0
;xP662IY9mp;12;192;482;0;0;1;0;0;0
;x12vgD8JS6;29;213;603;0;0;0;1;0;0
;xW336S9f74;14;41;610;1;0;0;0;0;0
02/08/2023;xl96smp7E96;10;54;414;1;0;0;0;0;0
;x85pMRtg89;15;50;736;1;0;0;0;0;0
;xP662IY9mp;9;164;604;0;0;1;0;0;0
;x12vgD8JS6;32;229;666;0;0;0;1;0;0
;xW336S9f74;10;171;802;0;0;1;0;0;0
03/08/2023;x85pMRtg89;4;21;199;1;0;0;0;0;0
;xP662IY9mp;4;45;326;1;0;0;0;0;0
;x12vgD8JS6;23;173;614;0;0;1;0;0;0
;xW336S9f74;18;118;844;0;1;0;0;0;0
04/08/2023;xl96smp7E96;18;70;3067;1;0;0;0;0;0
;x85pMRtg89;8;23;218;1;0;0;0;0;0
;xP662IY9mp;4;49;1986;1;0;0;0;0;0
;x12vgD8JS6;25;142;643;0;1;0;0;0;0
;xW336S9f74;16;75;709;1;0;0;0;0;0
05/08/2023;xW336S9f74;5;86;243;1;0;0;0;0;0
07/08/2023;xl96smp7E96;21;45;591;1;0;0;0;0;0
;xP662IY9mp;26;179;674;0;0;1;0;0;0
;x12vgD8JS6;15;215;671;0;0;0;1;0;0
08/08/2023;xl96smp7E96;26;110;696;0;1;0;0;0;0
;xP662IY9mp;31;164;1199;0;0;1;0;0;0
;x12vgD8JS6;44;242;858;0;0;0;1;0;0
09/08/2023;xg69dpm56d;22;125;20593;0;1;0;0;0;0
;xl96smp7E96;40;234;824;0;0;0;1;0;0
;xP662IY9mp;23;135;667;0;1;0;0;0;0
;x12vgD8JS6;19;231;497;0;0;0;1;0;0
10/08/2023;xg69dpm56d;5;7;351;1;0;0;0;0;0
;xl96smp7E96;29;141;625;0;1;0;0;0;0
;xP662IY9mp;24;152;762;0;0;1;0;0;0
;x12vgD8JS6;12;184;667;0;0;1;0;0;0
11/08/2023;xg69dpm56d;26;158;595;0;0;1;0;0;0
;xl96smp7E96;44;213;749;0;0;0;1;0;0
;xP662IY9mp;13;94;609;1;0;0;0;0;0
;x12vgD8JS6;12;98;702;1;0;0;0;0;0
14/08/2023;xl96smp7E96;64;279;641;0;0;0;0;1;0
16/08/2023;xg69dpm56d;26;158;590;0;0;1;0;0;0
;xl96smp7E96;39;131;701;0;1;0;0;0;0
;xP662IY9mp;23;213;518;0;0;0;1;0;0
;x32oE78F97;9;49;392;1;0;0;0;0;0
;x12vgD8JS6;19;99;613;1;0;0;0;0;0
17/08/2023;xg69dpm56d;43;61;724;1;0;0;0;0;0
;xl96smp7E96;40;139;619;0;1;0;0;0;0
;xP662IY9mp;21;180;681;0;0;1;0;0;0
;x32oE78F97;6;53;318;1;0;0;0;0;0
;x12vgD8JS6;28;118;633;0;1;0;0;0;0
18/08/2023;xg69dpm56d;47;81;687;1;0;0;0;0;0
;xl96smp7E96;39;143;418;0;1;0;0;0;0
;xP662IY9mp;25;138;690;0;1;0;0;0;0
;x32oE78F97;17;90;508;1;0;0;0;0;0
;x12vgD8JS6;39;199;696;0;0;1;0;0;0
19/08/2023;xl96smp7E96;10;10;222;1;0;0;0;0;0
21/08/2023;xg69dpm56d;35;193;691;0;0;1;0;0;0
;xl96smp7E96;48;234;597;0;0;0;1;0;0
;x32oE78F97;6;48;868;1;0;0;0;0;0
;x12vgD8JS6;33;259;581;0;0;0;0;1;0
22/08/2023;xg69dpm56d;27;76;651;1;0;0;0;0;0
;xl96smp7E96;24;153;755;0;0;1;0;0;0
;x32oE78F97;7;46;239;1;0;0;0;0;0
;x12vgD8JS6;27;240;569;0;0;0;1;0;0
23/08/2023;xg69dpm56d;44;207;732;0;0;0;1;0;0
;xl96smp7E96;55;126;714;0;1;0;0;0;0
;x32oE78F97;7;54;436;1;0;0;0;0;0
;x12vgD8JS6;32;137;839;0;1;0;0;0;0
24/08/2023;xg69dpm56d;43;169;655;0;0;1;0;0;0
;xl96smp7E96;7;19;329;1;0;0;0;0;0
;x32oE78F97;8;52;688;1;0;0;0;0;0
;x12vgD8JS6;23;242;767;0;0;0;1;0;0
25/08/2023;xg69dpm56d;35;186;819;0;0;1;0;0;0
;xl96smp7E96;25;131;329;0;1;0;0;0;0
;x32oE78F97;21;93;865;1;0;0;0;0;0
;x12vgD8JS6;18;109;574;0;1;0;0;0;0
28/08/2023;xg69dpm56d;29;38;509;1;0;0;0;0;0
;xl96smp7E96;40;193;784;0;0;1;0;0;0
;x85pMRtg89;15;37;577;1;0;0;0;0;0
;xP662IY9mp;16;165;936;0;0;1;0;0;0
;x32oE78F97;17;190;807;0;0;1;0;0;0
;x12vgD8JS6;32;233;620;0;0;0;1;0;0
;xW336S9f74;16;76;686;1;0;0;0;0;0
29/08/2023;xg69dpm56d;16;18;461;1;0;0;0;0;0
;xl96smp7E96;44;203;634;0;0;0;1;0;0
;x85pMRtg89;13;30;482;1;0;0;0;0;0
;xP662IY9mp;15;111;730;0;1;0;0;0;0
;x32oE78F97;8;50;1005;1;0;0;0;0;0
;x12vgD8JS6;32;237;607;0;0;0;1;0;0
;xW336S9f74;14;98;927;1;0;0;0;0;0
30/08/2023;xg69dpm56d;23;180;689;0;0;1;0;0;0
;xl96smp7E96;32;146;710;0;1;0;0;0;0
;x85pMRtg89;11;27;421;1;0;0;0;0;0
;xP662IY9mp;38;126;591;0;1;0;0;0;0
;x32oE78F97;10;62;858;1;0;0;0;0;0
;x12vgD8JS6;30;238;679;0;0;0;1;0;0
;xW336S9f74;7;78;280;1;0;0;0;0;0
31/08/2023;xg69dpm56d;26;88;557;1;0;0;0;0;0
;xl96smp7E96;35;202;673;0;0;0;1;0;0
;x85pMRtg89;30;133;725;0;1;0;0;0;0
;xP662IY9mp;20;166;376;0;0;1;0;0;0
;x32oE78F97;11;63;698;1;0;0;0;0;0
;x12vgD8JS6;22;221;666;0;0;0;1;0;0
;xW336S9f74;2;37;130;1;0;0;0;0;0
01/09/2023;xg69dpm56d;19;21;472;1;0;0;0;0;0
;xl96smp7E96;25;104;664;0;1;0;0;0;0
;x85pMRtg89;23;38;456;1;0;0;0;0;0
;xP662IY9mp;24;59;830;1;0;0;0;0;0
;x32oE78F97;16;90;738;1;0;0;0;0;0
;x12vgD8JS6;21;167;798;0;0;1;0;0;0
;xW336S9f74;5;37;448;1;0;0;0;0;0
02/09/2023;xW336S9f74;6;66;300;1;0;0;0;0;0
04/09/2023;xl96smp7E96;28;130;726;0;1;0;0;0;0
;x85pMRtg89;14;29;953;1;0;0;0;0;0
;xP662IY9mp;24;145;725;0;1;0;0;0;0
;x32oE78F97;6;53;385;1;0;0;0;0;0
;x6pqTg88l7;39;235;674;0;0;0;1;0;0
;x12vgD8JS6;12;112;414;0;1;0;0;0;0
;xW336S9f74;15;94;913;1;0;0;0;0;0
05/09/2023;xl96smp7E96;19;134;649;0;1;0;0;0;0
;x85pMRtg89;25;117;646;0;1;0;0;0;0
;xP662IY9mp;26;153;867;0;0;1;0;0;0
;x32oE78F97;13;139;453;0;1;0;0;0;0
;x6pqTg88l7;28;219;406;0;0;0;1;0;0
;x12vgD8JS6;6;16;730;1;0;0;0;0;0
;xW336S9f74;16;90;590;1;0;0;0;0;0
06/09/2023;xl96smp7E96;31;98;678;1;0;0;0;0;0
;x85pMRtg89;21;114;330;0;1;0;0;0;0
;xP662IY9mp;18;29;469;1;0;0;0;0;0
;x32oE78F97;21;213;654;0;0;0;1;0;0
;x6pqTg88l7;32;107;519;0;1;0;0;0;0
;x12vgD8JS6;16;205;641;0;0;0;1;0;0
;xW336S9f74;11;52;1291;1;0;0;0;0;0
07/09/2023;xl96smp7E96;61;203;643;0;0;0;1;0;0
;x85pMRtg89;13;32;788;1;0;0;0;0;0
;xP662IY9mp;27;143;717;0;1;0;0;0;0
;x32oE78F97;3;42;215;1;0;0;0;0;0
;x6pqTg88l7;66;121;661;0;1;0;0;0;0
;x12vgD8JS6;21;227;644;0;0;0;1;0;0
;xW336S9f74;18;80;666;1;0;0;0;0;0
08/09/2023;x85pMRtg89;16;41;677;1;0;0;0;0;0
;xP662IY9mp;19;99;970;1;0;0;0;0;0
